Heat: 750.0000 | Time: 2.8330 | MPISize: 1
         3002677 function calls (2769372 primitive calls) in 7.151 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.024    0.024 platform.py:10(<module>)
       40    0.005    0.000    0.024    0.001 castgraph.py:92(propagate)
        1    0.000    0.000    0.024    0.024 unicode.py:1(<module>)
     1446    0.004    0.000    0.023    0.000 builder.py:942(extract_value)
      866    0.023    0.000    0.023    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.023    0.023 _sketches.py:1(<module>)
      790    0.001    0.000    0.023    0.000 __init__.py:1396(has_metadata)
        2    0.000    0.000    0.023    0.012 parfor.py:646(_analyze_parfor)
        1    0.000    0.000    0.023    0.023 __init__.py:219(<module>)
 1151/143    0.007    0.000    0.023    0.000 sre_compile.py:71(_compile)
        1    0.000    0.000    0.023    0.023 typeof.py:1(<module>)
       28    0.000    0.000    0.022    0.001 lowering.py:736(lower_call)
      606    0.005    0.000    0.022    0.000 templates.py:803(make_overload_template)
2836/1198    0.003    0.000    0.022    0.000 __init__.py:2385(yield_lines)
      812    0.001    0.000    0.022    0.000 __init__.py:3180(split_sections)
        1    0.000    0.000    0.022    0.022 parfor.py:14(<module>)
13804/5645    0.013    0.000    0.022    0.000 ir_utils.py:394(visit_vars_inner)
    28/18    0.003    0.000    0.022    0.001 ir_utils.py:738(find_potential_aliases)
        1    0.000    0.000    0.021    0.021 pythonapi.py:1(<module>)
       32    0.001    0.000    0.021    0.001 parfor.py:3730(maximize_fusion_inner)
    20851    0.006    0.000    0.021    0.000 abc.py:137(__instancecheck__)
       20    0.001    0.000    0.021    0.001 lowering.py:562(lower_binop)
28761/28742    0.010    0.000    0.021    0.000 {method 'join' of 'str' objects}
40102/40030    0.015    0.000    0.021    0.000 {built-in method builtins.getattr}
       28    0.000    0.000    0.021    0.001 lowering.py:979(_lower_call_normal)
    48/24    0.001    0.000    0.020    0.001 ir_utils.py:333(visit_vars)
2346/2054    0.004    0.000    0.020    0.000 ir_utils.py:343(visit_vars_stmt)
      157    0.001    0.000    0.020    0.000 lowering.py:1286(delvar)
     1818    0.001    0.000    0.020    0.000 parfor.py:3760(_can_reorder_stmts)
    19734    0.012    0.000    0.020    0.000 version.py:187(_parse_version_parts)
        4    0.001    0.000    0.020    0.005 registry.py:54(apply)
      306    0.002    0.000    0.020    0.000 builder.py:284(if_then)
      865    0.002    0.000    0.020    0.000 cgutils.py:158(__setattr__)
      735    0.003    0.000    0.019    0.000 builder.py:897(gep)
